source,target,value
Portland,Magnolia grandiflora,0
Portland,Prunus,25635
Portland,Zelkova serrata,1911
Portland,Celtis occidentalis,334
Portland,Acer saccharum,0
Portland,Acer saccharinum,904
Portland,Ginkgo biloba,2023
Portland,Pistacia chinensis,258
Washington,Seattle,165623
Seattle,Platanus acerifolia,1769
Seattle,Lagerstroemia indica,406
Seattle,Acer platanoides,6304
Seattle,Gleditsia triacanthos,1404
Seattle,Pyrus calleryana,4467
Seattle,Fraxinus pennsylvanica,1835
Seattle,Acer rubrum,7543
Seattle,Liquidambar styraciflua,3377
Seattle,Tilia cordata,2718
Seattle,Quercus virginiana,11
Seattle,Quercus palustris,977
Seattle,Washingtonia robusta,0
Seattle,Magnolia grandiflora,1225
Seattle,Prunus,3937
Seattle,Zelkova serrata,1683
Seattle,Celtis occidentalis,141
Seattle,Acer saccharum,1585
Seattle,Acer saccharinum,265
Seattle,Ginkgo biloba,1251
Seattle,Pistacia chinensis,78
Nevada,LasVegas,39193
LasVegas,Platanus acerifolia,5
LasVegas,Lagerstroemia indica,77
LasVegas,Acer platanoides,0
LasVegas,Gleditsia triacanthos,204
LasVegas,Pyrus calleryana,38
LasVegas,Fraxinus pennsylvanica,0
LasVegas,Acer rubrum,0
LasVegas,Liquidambar styraciflua,0
LasVegas,Tilia cordata,0
LasVegas,Quercus virginiana,393
LasVegas,Quercus palustris,0
LasVegas,Washingtonia robusta,1844
LasVegas,Magnolia grandiflora,7
LasVegas,Prunus,0
LasVegas,Zelkova serrata,11
LasVegas,Celtis occidentalis,3
LasVegas,Acer saccharum,0
LasVegas,Acer saccharinum,0
LasVegas,Ginkgo biloba,0
LasVegas,Pistacia chinensis,929
Hawaii,Honolulu,15440
Honolulu,Platanus acerifolia,0
Honolulu,Lagerstroemia indica,161
Honolulu,Acer platanoides,0
Honolulu,Gleditsia triacanthos,0
Honolulu,Pyrus calleryana,0
Honolulu,Fraxinus pennsylvanica,0
Honolulu,Acer rubrum,0
Honolulu,Liquidambar styraciflua,0
Honolulu,Tilia cordata,0
Honolulu,Quercus virginiana,0
Honolulu,Quercus palustris,0
Honolulu,Washingtonia robusta,0
Honolulu,Magnolia grandiflora,54
Honolulu,Prunus,0
Honolulu,Zelkova serrata,0
Honolulu,Celtis occidentalis,0
Honolulu,Acer saccharum,0
Honolulu,Acer saccharinum,0
Honolulu,Ginkgo biloba,0
Honolulu,Pistacia chinensis,0
New Mexico,Albuquerque,2502
Albuquerque,Platanus acerifolia,186
Albuquerque,Lagerstroemia indica,0
Albuquerque,Acer platanoides,1
Albuquerque,Gleditsia triacanthos,159
Albuquerque,Pyrus calleryana,13
Albuquerque,Fraxinus pennsylvanica,20
Albuquerque,Acer rubrum,0
Albuquerque,Liquidambar styraciflua,0
Albuquerque,Tilia cordata,28
Albuquerque,Quercus virginiana,0
Albuquerque,Quercus palustris,0
Albuquerque,Washingtonia robusta,0
Albuquerque,Magnolia grandiflora,0
Albuquerque,Prunus,20
Albuquerque,Zelkova serrata,2
Albuquerque,Celtis occidentalis,32
Albuquerque,Acer saccharum,0
Albuquerque,Acer saccharinum,1
Albuquerque,Ginkgo biloba,2
Albuquerque,Pistacia chinensis,54
Arizona,Phoenix,214
Phoenix,Platanus acerifolia,0
Phoenix,Lagerstroemia indica,0
Phoenix,Acer platanoides,0
Phoenix,Gleditsia triacanthos,0
Phoenix,Pyrus calleryana,0
Phoenix,Fraxinus pennsylvanica,0
Phoenix,Acer rubrum,0
Phoenix,Liquidambar styraciflua,0
Phoenix,Tilia cordata,0
Phoenix,Quercus virginiana,1
Phoenix,Quercus palustris,0
Phoenix,Washingtonia robusta,2
Phoenix,Magnolia grandiflora,0
Phoenix,Prunus,0
Phoenix,Zelkova serrata,0
Phoenix,Celtis occidentalis,0
Phoenix,Acer saccharum,0
Phoenix,Acer saccharinum,0
Phoenix,Ginkgo biloba,0
Phoenix,Pistacia chinensis,0
